name,l,b,n16,n50,n84,f16,f50,f84,m16,m50,m84,d16,d50,d84,p16,p50,p84,sfore16,sfore50,sfore84,sback16,sback50,sback84,mdwarf,new,Extinction,X,Y,Z,Vrad_observed,Vrad_observed_err,Vrad_predicted,Odds,ra,dec,rawwt
CygnusX,82.9,0.7,0.3886,0.3901,0.3917,1.1822,1.187,1.1918,10.5033,10.5233,10.5457,1260,1272,1285,0.0717,0.0877,0.1051,0.1607,0.1672,0.1745,0.0995,0.1028,0.1064,0,1,4.85,157,1262,15,,,2.1,9.314235668,310.599379,43.39084815,130.599379
CygnusX,77.7,1.3,0.3095,0.3116,0.3137,0.3798,0.4038,0.4293,9.7529,9.7685,9.7972,892,898,910,0.1641,0.1836,0.2026,0.0321,0.0368,0.0413,0.1375,0.1411,0.1453,0,1,3.91,191,877,20,2.2,0.171,4.6,9.397014285,305.8296081,39.56459918,125.82960809999997
CygnusX,79.0,3.7,0.4533,0.4561,0.459,0.9329,0.9388,0.9448,10.8589,10.8909,10.9241,1485,1507,1530,0.0877,0.1019,0.1166,0.09,0.094,0.0982,0.1143,0.1177,0.1215,0,1,3.86,286,1476,97,-2.5,0.166,4.9,13.95783826,304.1829799,41.99206356,124.18297990000002
CygnusX,80.5,1.1,0.3379,0.34,0.342,1.212,1.2198,1.2273,10.4052,10.4218,10.4598,1205,1214,1235,0.0614,0.0764,0.093,0.1373,0.142,0.1473,0.1361,0.1401,0.1446,0,1,5.01,200,1197,23,,,3.7,21.24640662,308.1961105,41.72181774,128.19611049999997
CygnusX,80.3,-2.4,0.559,0.5616,0.5642,1.2556,1.2616,1.2675,10.7798,10.7938,10.8048,1432,1441,1448,0.1489,0.1672,0.1849,0.1419,0.146,0.1508,0.0915,0.0946,0.0983,0,1,5.12,242,1419,-60,-4.2,0.09,3.9,5.557307035,311.6878419,39.42835733,131.68784190000002
CygnusX,77.2,2.1,0.3555,0.3582,0.361,0.9375,0.9449,0.9525,10.5689,10.5863,10.6254,1299,1309,1333,0.142,0.1648,0.1848,0.0866,0.0909,0.0957,0.1275,0.1322,0.1376,0,1,3.88,289,1275,47,1.3,0.122,5.9,18.99836994,304.6068641,39.60698947,124.6068641
CygnusX,79.1,3.0,0.4336,0.4363,0.4388,0.4817,0.4992,0.5171,9.9824,10.0079,10.024,991,1003,1011,0.0824,0.0954,0.1096,0.0368,0.0394,0.042,0.1303,0.1339,0.1383,0,1,4.53,189,983,52,12.6,0.189,4.2,10.92101232,305.0360915,41.6822599,125.0360915
CygnusX,76.8,2.2,0.368,0.3706,0.3733,0.864,0.8703,0.8767,11.0167,11.0508,11.0703,1597,1622,1637,0.0497,0.06,0.0715,0.0943,0.098,0.102,0.1345,0.1379,0.1415,0,1,3.58,370,1577,62,3.4,0.136,6.7,19.58485299,304.2094947,39.33189495,124.2094947
IC2118,206.9,-26.6,0.7911,0.8068,0.8218,0.1622,0.2476,0.2542,7.021,7.2663,7.382,253,283,299,0.0237,0.0299,0.0372,0.0275,0.0358,0.047,0.0452,0.0481,0.051,0,1,1.0,-225,-114,-126,,,2.8,8.995052331,76.46258327,-6.923705728,256.46258327
IC2118,207.3,-27.2,0.7833,0.7999,0.8164,0.1377,0.1446,0.148,7.0963,7.1877,7.2501,262,273,281,0.0153,0.019,0.0229,0.0221,0.0272,0.0341,0.0325,0.0342,0.036,0,1,0.59,-215,-111,-124,,,2.7,7.541853067,76.08504096,-7.512738607,256.08504096
IC2118,206.4,-26.0,0.4784,0.4887,0.4994,0.2047,0.2098,0.2146,7.4472,7.5834,7.6786,308,328,343,0.0205,0.0263,0.0333,0.0258,0.0321,0.04,0.0614,0.0647,0.0681,0,1,0.85,-264,-131,-143,,,3.3,14.57218995,76.79517935,-6.251578053,256.79517935
IC5146,94.0,-4.9,0.4757,0.4796,0.4834,0.3829,0.3862,0.3894,9.2415,9.3169,9.3752,705,730,749,0.0237,0.0288,0.0347,0.0338,0.0396,0.0461,0.0726,0.0747,0.0768,0,1,1.57,-50,725,-62,3.2,0.101,-2.1,3.8705169,327.3579188,47.48646914,147.3579188
IC5146,93.4,-4.2,0.4581,0.4622,0.4661,0.3508,0.4234,0.4302,9.4524,9.4948,9.531,777,792,805,0.0533,0.0622,0.0723,0.0243,0.0282,0.0322,0.0839,0.0868,0.0898,0,1,1.74,-46,788,-58,2.5,0.119,-2.1,3.20528394,326.011738,47.63668024,146.01173799999998
IC5146,93.7,-4.6,0.434,0.4371,0.4403,0.413,0.4332,0.4368,9.4004,9.444,9.4806,758,774,787,0.0501,0.0576,0.0667,0.0345,0.0388,0.0436,0.0886,0.091,0.0935,0,1,1.77,-49,769,-62,3.6,0.061,-2.2,3.186103732,326.7335917,47.52542799,146.73359169999998
IC5146,94.4,-5.5,0.5533,0.5574,0.5616,0.5281,0.5324,0.5366,9.3574,9.3802,9.4087,743,751,761,0.0326,0.0396,0.0474,0.0293,0.0333,0.0377,0.0925,0.0951,0.0978,0,1,2.17,-57,745,-71,6.8,0.062,-2.3,2.575337699,328.3737755,47.27310441,148.37377550000002
